1	20.19
2	14.45
3	14.26
4	17.16
5	17.55
5	18.13
6	20
8	26.75
10	30.07
15	41.12
20	59.69
25	66.79
25	73.29
30	81.6
35	110.78
40	139.96
50	179.52
50	194.43
60	229.69
70	238.14
80	305.63
90	317.77
100	354.38
100	378.31
110	406.87
120	434.11
130	490.9
140	550.13
160	638.96
160	670.88
180	717.1
200	793.94
220	825.3
240	884.26
260	925.02
280	981.51
300	1021.18

